33000,0,Action
33000,0,Adventure
33000,0,Fantasy
33000,0,Sci-Fi
0,0,Action
0,0,Adventure
0,0,Fantasy
85000,1,Action
85000,1,Adventure
85000,1,Thriller
164000,0,Action
164000,0,Thriller
0,0,Documentary
24000,1,Action
24000,1,Adventure
24000,1,Sci-Fi
0,0,Action
0,0,Adventure
0,0,Romance
29000,1,Adventure
29000,1,Animation
29000,1,Comedy
29000,1,Family
29000,1,Fantasy
29000,1,Mus
118000,4,Action
118000,4,Adventure
118000,4,Sci-Fi
10000,3,Adventure
10000,3,Family
10000,3,Fantasy
10000,3,Mystery
197000,0,Action
197000,0,Adventure
197000,0,Sci-Fi
0,0,Action
0,0,Adventure
0,0,Sci-Fi
0,1,Action
0,1,Adventure
5000,2,Action
5000,2,Adventure
5000,2,Fantasy
48000,1,Action
48000,1,Adventure
48000,1,Western
118000,0,Action
118000,0,Adventure
118000,0,Fantasy
118000,0,Sci-Fi
0,4,Action
0,4,Adventure
0,4,Family
0,4,Fantasy
123000,3,Action
123000,3,Adventure
123000,3,Sci-Fi
58000,4,Action
58000,4,Adventure
58000,4,Fantasy
40000,1,Action
40000,1,Adventure
40000,1,Comedy
40000,1,Family
40000,1,Fantasy
40000,1,Sci-Fi
65000,0,Adventure
65000,0,Fantasy
56000,0,Action
56000,0,Adventure
56000,0,Fantasy
17000,0,Action
17000,0,Adventure
17000,0,Drama
17000,0,History
83000,6,Adventure
83000,6,Fantasy
0,2,Adventure
0,2,Family
0,2,Fantasy
0,0,Action
0,0,Adventure
0,0,Drama
0,0,Romance
26000,0,Drama
26000,0,Romance
72000,0,Action
72000,0,Adventure
72000,0,Sci-Fi
44000,0,Action
44000,0,Adventure
44000,0,Sci-Fi
44000,0,Thriller
150000,0,Action
150000,0,Adventure
150000,0,Sci-Fi
150000,0,Thriller
80000,0,Action
80000,0,Adventure
80000,0,Thriller
0,1,Action
0,1,Adventure
0,1,Fantasy
0,1,Romance
95000,3,Action
95000,3,Adventure
95000,3,Sci-Fi
24000,0,Adventure
24000,0,Family
24000,0,Fantasy
0,0,Action
0,0,Adventure
0,0,Fantasy
0,0,Sci-Fi
0,0,Thriller
44000,0,Adventure
44000,0,Animation
44000,0,Comedy
44000,0,Family
44000,0,Fantasy
0,0,Action
0,0,Adventure
0,0,Sci-Fi
56000,2,Action
56000,2,Adventure
56000,2,Sci-Fi
60000,4,Adventure
60000,4,Family
60000,4,Fantasy
41000,0,Action
41000,0,Adventure
41000,0,Fantasy
41000,0,Sci-Fi
30000,0,Action
30000,0,Adventure
30000,0,Sci-Fi
10000,0,Adventure
10000,0,Animation
10000,0,Comedy
10000,0,Family
10000,0,Sport
24000,2,Action
24000,2,Adventure
24000,2,Sci-Fi
30000,3,Adventure
30000,3,Animation
30000,3,Comedy
30000,3,Family
30000,3,Fantasy
0,0,Action
0,0,Adventure
0,0,Sci-Fi
94000,0,Action
94000,0,Crime
94000,0,Thriller
129000,0,Action
129000,0,Adventure
129000,0,Horror
129000,0,Sci-Fi
129000,0,Thriller
82000,7,Action
82000,7,Adventure
82000,7,Fantasy
82000,7,Sci-Fi
82000,7,Thriller
92000,0,Action
92000,0,Adventure
92000,0,Sci-Fi
22000,1,Adventure
22000,1,Fantasy
115000,4,Drama
115000,4,Romance
23000,2,Action
23000,2,Adventure
23000,2,Fantasy
23000,2,Romance
83000,0,Action
83000,0,Adventure
83000,0,Sci-Fi
46000,2,Action
46000,2,Adventure
46000,2,Sci-Fi
5000,2,Action
5000,2,Adventure
5000,2,Fantasy
20000,0,Adventure
20000,0,Animation
20000,0,Comedy
20000,0,Family
20000,0,Fantasy
39000,0,Adventure
39000,0,Animation
39000,0,Comedy
39000,0,Family
39000,0,Fantasy
30000,4,Action
30000,4,Adventure
30000,4,Sci-Fi
