237000000.0,7.9,4834,760506000.0
300000000.0,7.1,48350,309404000.0
245000000.0,6.8,11700,200074000.0
250000000.0,8.5,106759,448131000.0
263700000.0,6.6,1873,73058700.0
258000000.0,6.2,46055,336530000.0
260000000.0,7.8,2036,200807000.0
250000000.0,7.5,92000,458992000.0
250000000.0,7.5,58753,301957000.0
250000000.0,6.9,24450,330249000.0
209000000.0,6.1,29991,200069000.0
200000000.0,6.7,2023,168368000.0
225000000.0,7.3,48486,423033000.0
215000000.0,6.5,45757,89289900.0
225000000.0,7.2,20495,291022000.0
225000000.0,6.6,22697,141614000.0
220000000.0,8.1,87697,623280000.0
250000000.0,6.7,54083,241064000.0
225000000.0,6.8,12572,179021000.0
250000000.0,7.5,9152,255108000.0
230000000.0,7.0,28489,262031000.0
200000000.0,6.7,3244,105220000.0
225000000.0,7.9,9152,258355000.0
180000000.0,6.1,24106,70083500.0
207000000.0,7.2,7123,218051000.0
200000000.0,7.7,45223,658672000.0
250000000.0,8.2,64798,407197000.0
209000000.0,5.9,26679,65173200.0
150000000.0,7.0,8458,652177000.0
200000000.0,7.8,2039,304360000.0
200000000.0,7.3,43388,373378000.0
200000000.0,7.2,30426,408992000.0
200000000.0,6.5,79957,334185000.0
210000000.0,6.8,21714,234360000.0
200000000.0,7.3,14863,268488000.0
200000000.0,6.0,3218,402077000.0
210000000.0,5.7,3988,245428000.0
215000000.0,6.4,73441,234903000.0
200000000.0,6.7,28631,202854000.0
170000000.0,6.8,25550,172052000.0
200000000.0,6.3,4482,191451000.0
200000000.0,5.6,17657,116593000.0
200000000.0,8.3,19085,414985000.0
200000000.0,6.6,27468,125320000.0
190000000.0,7.2,79150,350034000.0
190000000.0,7.0,32392,202352000.0
200000000.0,8.0,91434,233915000.0
190000000.0,7.8,21411,228756000.0
195000000.0,6.3,1766,65171900.0
105000000.0,7.3,29770,144813000.0
200000000.0,6.6,16149,90755600.0
190000000.0,7.0,19166,101785000.0
195000000.0,6.3,2593,352359000.0
185000000.0,6.2,14959,317011000.0
0.0,6.8,696,123070000.0
185000000.0,7.2,5005,237282000.0
185000000.0,7.5,1327,130469000.0
180000000.0,8.4,2975,223807000.0
140000000.0,6.2,1125,140081000.0
200000000.0,5.8,2144,166112000.0
200000000.0,6.8,48878,137850000.0
176000000.0,5.4,47334,47375300.0
180000000.0,6.6,21175,124052000.0
180000000.0,6.9,1317,291710000.0
